
CVJ ZZ INV Detalle de definición de Artículo

Fecha: 05-MAR-2026 04:00:35 PM

Parametros
----------
Unidad Operativa: 132
Organización de Inventarios DESDE: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Organización de Inventarios HASTA: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Jgo Categ 1: Categoría de Productos
Categorías Desde 1: 
A : 
Jgo Categ 2: Inventory Category Set
Jgo Categ 3: COSTOS_PAC
Artículo Desde: 22000000000
Artículo Hasta: 22999999999
Estado del Articulo: Active
Tipo de Articulo: 
Planificador: 
Fecha Creacion Inicial: 
Fecha Creacion Final: 
Atributos De Información General: Sí
Atributos De Artículo De Inventario: No
Atributos De Artículo De Listas De Materiales: No
Atributos De Artículo De Administración De Activos: No
Atributos De Artículo De Cálculo De Costos: No
Atributos De Artículo De Compras: No
Atributos De Artículos De Recepción: No
Atributos De Artículos De Atributos Físicos: No
Atributos De Artículos De Planificación General: No
Atributos De Artículos De Planificación MPS/MRP: No
Atributos De Artículos De Márgenes Tiempo: No
Atributos De Artículos De Trabajo En Proceso: No
Atributos De Artículos De Administración De Pedidos: No
Atributos De Artículos De Facturación: No
Atributos De Artículos De Servicio: No
Atributos De Artículos De Opcion Web: No
Atributos De Artículos De Catalogo: No

*** Cuando hay varias categorias para un Artículo. Revise la configuración.

Organización Inventario|Artículo|Descripción|Fecha de Creacion|Fecha de ultima actualizacion|Creado Por|Importado|Provisión Inventarios|NUMERADOS|En Custodia|Artículo Plan Vallejo|Cliente Producto|Flexfield12|flexfield13|Pricat Desc Larga|Pricat Desc Corta|Responsabilidad|Actualizado por|Atributo6|Categoria1|Categoria2|Categoria3|Primario|Rastreo|Fjción Precios|Secundario|Fjación p/Def|Fact Desv +|Fact Desv -|Conversiones|Tipo Art Usuario|Estado Articulo|Descripción Larga|Código de Clasificación Fiscal|Clase de Condición de Transacción|Cuenta de Ajuste por Inflación|Cuenta de Corrección Monetaria|Cuenta de Costos de Ventas|Flexfields 6|Flexfields 7|Aplicación de Artículo de Inventario
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000243|COLUMNA DE GAS PARA CONTESSA NEGRA TIPO BIFMA G93167X|13-SEP-07|04-MAR-21|AANGULO637_CO||SI||NO|||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SILLAS Y MESAS.OKAMURA.ELEMENTO DE REPOSICION.N/A|MUEBLES.SILLAS Y MESAS.OKAMURA.ELEMENTO DE REPOSICION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Producto Comprado|Active|COLUMNA DE GAS PARA CONTESSA NEGRA TIPO BIFMA G93167X|IVA GENERAL|BIEN_DISTRI_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5151.4705100000.0000.000.F.00|035.2110.5151.6135980000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000391|OBRA CIVIL AIU|24-SEP-07|26-ABR-21|LGARCIA285_CO|NO|SI||NO|NO||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS.N/A|MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|OBRA CIVIL AIU|ARTICULOS EXENTOS|SERV_EXENTO_IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000393|ARTICULO PARA DESCRIPCION ALTERNA|24-SEP-07|26-ABR-21|LGARCIA285_CO|NO|SI||NO|NO||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS.N/A|MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|ARTICULO PARA DESCRIPCION ALTERNA|ARTICULOS EXENTOS|SERV_EXENTO_IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000396|ARTICULO PARA DIGITAR EL NOMBRE UTILIDAD|24-SEP-07|26-ABR-21|LGARCIA285_CO|NO|SI||NO|NO||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS.N/A|MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|ARTICULO PARA DIGITAR EL NOMBRE UTILIDAD|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000407|ARREGLO CREDENZA|25-SEP-07|31-MAY-21|ERINCON092_CO|SI|SI|||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|LBENAVIDES892_CO||MUEBLES.GESTION INTEGRAL DE ESPACIOS DE TRABAJO.SERVICIOS GENERALES DE MOBILIARIO.REFACCION.N/A|MUEBLES.SILLAS Y MESAS.SILLAS SALAS DE ESPERA.SIMCO|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|ARREGLO CREDENZA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000408|MANO DE OBRA CAMBIO DE CERRADURA|25-SEP-07|31-MAY-21|ERINCON092_CO|SI|SI|||||||||MEPAL_CO_INV_CREADOR_ARTICULOS|LBENAVIDES892_CO||MUEBLES.GESTION INTEGRAL DE ESPACIOS DE TRABAJO.SERVICIOS GENERALES DE MOBILIARIO.REFACCION.N/A|MUEBLES.GESTION INTEGRAL DE ESPACIOS DE TRA.SERVICIOS GENERALES DE MOBILIARIO.REFACCION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|MANO DE OBRA CAMBIO DE CERRADURA|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000428|OBRA CIVIL EXCLUIDO|25-SEP-07|26-ABR-21|LREVELO310_CO|NO|SI||NO|NO||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS.N/A|MUEBLES.OBRA CIVIL.OBRA CIVIL.SERVICIOS ASOCIADOS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|OBRA CIVIL EXCLUIDO|ARTICULOS EXENTOS|SERV_EXENTO_IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000430|ARTICULO PARA DESCRIPCION ALTERNA|25-SEP-07|26-ABR-21|LREVELO310_CO|NO|SI||NO|NO||NO|||NO|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.OBRA CIVIL.SERVICIOS ASOCIADOS.OBRA CIVIL.N/A|MUEBLES.OBRA CIVIL.SERVICIOS ASOCIADOS.OBRA CIVIL|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|ARTICULO PARA DESCRIPCION ALTERNA|ARTICULOS EXENTOS|SERV_EXENTO_IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000478|VALOR GASTOS ALMACENAMIENTO Y SEGUROS|27-SEP-07|01-FEB-21|LREVELO310_CO|NO|SI||SI|NO||SI|||SI|MEPAL_CO_INV_CREADOR_ARTICULOS|YCONSTAIN805_CO||MUEBLES.SERVICIOS.SERVICIOS.SERVICIOS Y OTROS.N/A|MUEBLES.SERVICIOS.SERVICIOS.SERVICIOS Y OTROS|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|VALOR GASTOS ALMACENAMIENTO Y SEGUROS|IVA GENERAL|SERV_EXCLUIDO_IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
M03 CARVAJAL ESPACIOS PLANTA PALMIRA|22000000857|MANO DE OBRA Y REUBICACION ARCHIVO RODANTE EXISTENTE|12-OCT-07|31-MAY-21|LREVELO310_CO|NO|SI|||NO||||||MEPAL_CO_INV_CREADOR_ARTICULOS|LBENAVIDES892_CO||MUEBLES.SERVICIOS.SERVICIOS.REUBICACION.N/A|MUEBLES.SERVICIOS.SERVICIOS.REUBICACION|PRODUCTO TERMINADO.MUEBLES.DISTRIBUCION.OPEN|Unidad|Primario|Primario|||0|0|Específico Artículo|Servicio Facturado|Active|MANO DE OBRA Y REUBICACION ARCHIVO RODANTE EXISTENTE|IVA GENERAL|SERV_GRAV-IVA_IYC_ICA|035.2110.0000.1435990200.0000.000.F.00|035.2110.5355.4705100000.0000.000.F.00|035.2110.5355.6155401000.0000.000.F.00|||AR
